字	分部	原書讀音	原書聲調	版本標記	含粵語音義版本標記	(1974)頁	(1974)位置	(1974)解釋	(1974)數碼化編註	(1996)編號	(1996)頁	(1996)位置	(1996)解釋	(1996)數碼化編註	讀音
𨃩	S(沙)音起頭之字	sin	陰去聲	2	0					09866	284	9	粵字，失足滑倒，「～咗一跤」。見《學粵詞典》。		[2]sin3
鏾	S(沙)音起頭之字	sin	陰去聲	3	0	107	9			09867	284	10			[3]sin3
霰	S(沙)音起頭之字	sin	陰去聲	3	0	107	10			09868	284	11			[3]sin3
倩	S(沙)音起頭之字	sin	陰去聲	3	0	107	11	請人替代		09869	284	12			[3]sin3
先	S(沙)音起頭之字	sin	陰去聲	3	0	107	12			09870	284	13			[3]sin3
𥔱	S(沙)音起頭之字	sin	陰去聲	3	0	107	13			09871	284	14			[3]sin3
澶	S(沙)音起頭之字	sin	陽平聲	3	0	107	1			09872	284	1			[3]sin4
單	S(沙)音起頭之字	sin	陽平聲	3	0	107	2			09873	284	2			[3]sin4
嬋	S(沙)音起頭之字	sin	陽平聲	3	0	107	3			09874	284	3			[3:original]sin4
禪	S(沙)音起頭之字	sin	陽平聲	3	0	107	4			09875	284	4			[3:original]sin4
蟬	S(沙)音起頭之字	sin	陽平聲	3	0	107	5			09876	284	5			[3]sin4
鱔	S(沙)音起頭之字	sin	陽上聲	3	0	107	1			09877	284	1			[3]sin5
鱓	S(沙)音起頭之字	sin	陽上聲	3	0	107	2			09878	284	2			[3]sin5
蟮	S(沙)音起頭之字	sin	陽上聲	3	0	107	3			09879	284	3			[3]sin5
善	S(沙)音起頭之字	sin	陽去聲	3	0	107	1	精熟，交好，快樂。（古音分低上）惡之反		09880	284	1			[3]sin6;[3:original]sin5
墡	S(沙)音起頭之字	sin	陽去聲	3	0	107	2			09881	284	2			[3]sin6
膳	S(沙)音起頭之字	sin	陽去聲	3	0	107	3			09882	284	3			[3]sin6
繕	S(沙)音起頭之字	sin	陽去聲	3	0	107	4			09883	284	4			[3]sin6
鄯	S(沙)音起頭之字	sin	陽去聲	3	0	107	5			09884	285	5			[3]sin6
紾	S(沙)音起頭之字	sin	陽去聲	3	0	107	6			09885	285	6			[3]sin6
饍	S(沙)音起頭之字	sin	陽去聲	3	0	107	7			09886	285	7			[3]sin6
羨	S(沙)音起頭之字	sin	陽去聲	3	0	107	8			09887	285	8			[3]sin6
亶	S(沙)音起頭之字	sin	陽去聲	3	0	107	9			09888	285	9			[3]sin6
儃	S(沙)音起頭之字	sin	陽去聲	3	0	107	10			09889	285	10			[3]sin6
嬗	S(沙)音起頭之字	sin	陽去聲	3	0	107	11			09890	285	11			[3]sin6
擅	S(沙)音起頭之字	sin	陽去聲	3	0	107	12			09891	285	12			[3]sin6
倩	S(沙)音起頭之字	sin	陽去聲	3	0	107	13	美好也		09892	285	13			[3]sin6
蒨	S(沙)音起頭之字	sin	陽去聲	3	0	107	14			09893	285	14			[3]sin6
茜	S(沙)音起頭之字	sin	陽去聲	3	0	107	15			09894	285	15			[3]sin6
單	S(沙)音起頭之字	sin	陽去聲	3	0	107	16			09895	285	16			[3]sin6
墠	S(沙)音起頭之字	sin	陽去聲	3	0	107	17			09896	285	17			[3]sin6
禪	S(沙)音起頭之字	sin	陽去聲	3	0	107	18			09897	285	18			[3]sin6
熯	S(沙)音起頭之字	sin	陽去聲	3	0	107	19			09898	285	19			[3]sin6
聲	S(沙)音起頭之字	sing	陰平聲	3	0	107	1			09899	285	1			[3]sing1
声	S(沙)音起頭之字	sing	陰平聲	3	0	107	2			09900	285	2			[3]sing1
升	S(沙)音起頭之字	sing	陰平聲	3	0	107	3			09901	285	3			[3]sing1
昇	S(沙)音起頭之字	sing	陰平聲	3	0	107	4			09902	285	4			[3]sing1
陞	S(沙)音起頭之字	sing	陰平聲	3	0	107	5			09903	285	5			[3]sing1
勝	S(沙)音起頭之字	sing	陰平聲	3	0	107	6			09904	285	6			[3]sing1
旌	S(沙)音起頭之字	sing	陰平聲	3	0	107	7			09905	285	7			[3]sing1
星	S(沙)音起頭之字	sing	陰平聲	3	0	107	8			09906	285	8			[3]sing1
猩	S(沙)音起頭之字	sing	陰平聲	3	0	107	9			09907	285	9			[3]sing1
惺	S(沙)音起頭之字	sing	陰平聲	3	0	107	10			09908	285	10			[3]sing1
腥	S(沙)音起頭之字	sing	陰平聲	3	0	107	11			09909	285	11			[3:literal]sing1
醒	S(沙)音起頭之字	sing	陰平聲	3	0	107	12			09910	285	12			[3]sing1
鯹	S(沙)音起頭之字	sing	陰平聲	3	0	107	13			09911	285	13			[3:literal]sing1
鮏	S(沙)音起頭之字	sing	陰平聲	3	0	107	14			09912	285	14			[3]sing1
騂	S(沙)音起頭之字	sing	陰平聲	3	0	107	15			09913	285	15			[3]sing1
醒	S(沙)音起頭之字	sing	陰上聲	3	0	107	1			09914	285	1			[3]sing2
惺	S(沙)音起頭之字	sing	陰上聲	3	0	107	2			09915	285	2			[3]sing2
省	S(沙)音起頭之字	sing	陰上聲	3	0	107	3			09916	285	3			[3]sing2
眚	S(沙)音起頭之字	sing	陰上聲	3	0	107	4			09917	285	4			[3:also]sing2
姓	S(沙)音起頭之字	sing	陰去聲	3	0	107	1			09918	285	1			[3]sing3
性	S(沙)音起頭之字	sing	陰去聲	3	0	107	2			09919	285	2			[3]sing3
聖	S(沙)音起頭之字	sing	陰去聲	3	0	107	3			09920	285	3			[3]sing3
勝	S(沙)音起頭之字	sing	陰去聲	3	0	107	4			09921	285	4			[3]sing3
承	S(沙)音起頭之字	sing	陽平聲	3	0	107	1			09922	285	1			[3]sing4
丞	S(沙)音起頭之字	sing	陽平聲	3	0	107	2			09923	285	2			[3]sing4
乘	S(沙)音起頭之字	sing	陽平聲	3	0	107	3			09924	285	3			[3]sing4
成	S(沙)音起頭之字	sing	陽平聲	3	0	107	4			09925	286	4			[3]sing4
城	S(沙)音起頭之字	sing	陽平聲	3	0	107	5			09926	286	5			[3]sing4
宬	S(沙)音起頭之字	sing	陽平聲	3	0	107	6			09927	286	6			[3]sing4
晟	S(沙)音起頭之字	sing	陽平聲	3	0	107	7	光盛明也。又音盛		09928	286	7			[3]sing4;[3:also]sing6
盛	S(沙)音起頭之字	sing	陽平聲	3	0	107	8			09929	286	8			[3]sing4
誠	S(沙)音起頭之字	sing	陽平聲	3	0	107	9			09930	286	9			[3]sing4
郕	S(沙)音起頭之字	sing	陽平聲	3	0	107	10			09931	286	10			[3]sing4
澠	S(沙)音起頭之字	sing	陽平聲	3	0	108	11			09932	286	11			[3]sing4
繩	S(沙)音起頭之字	sing	陽平聲	3	0	108	12			09933	286	12			[3]sing4
塍	S(沙)音起頭之字	sing	陽平聲	3	0	108	13			09934	286	13			[3]sing4
椉	S(沙)音起頭之字	sing	陽平聲	3	0	108	14			09935	286	14			[3]sing4
盛	S(沙)音起頭之字	sing	陽去聲	3	0	108	1			09936	286	1			[3]sing6
乘	S(沙)音起頭之字	sing	陽去聲	3	0	108	2			09937	286	2			[3]sing6
剩	S(沙)音起頭之字	sing	陽去聲	3	0	108	3			09938	286	3			[3]sing6
嵊	S(沙)音起頭之字	sing	陽去聲	3	0	108	4			09939	286	4			[3]sing6
賸	S(沙)音起頭之字	sing	陽去聲	3	0	108	5			09940	286	5			[3]sing6
燒	S(沙)音起頭之字	siu	陰平聲	3	0	108	1			09941	286	1			[3]siu1
宵	S(沙)音起頭之字	siu	陰平聲	3	0	108	2			09942	286	2			[3]siu1
消	S(沙)音起頭之字	siu	陰平聲	3	0	108	3			09943	286	3			[3]siu1
硝	S(沙)音起頭之字	siu	陰平聲	3	0	108	4			09944	286	4			[3]siu1
蛸	S(沙)音起頭之字	siu	陰平聲	3	0	108	5			09945	286	5			[3]siu1
綃	S(沙)音起頭之字	siu	陰平聲	3	0	108	6			09946	286	6			[3]siu1
逍	S(沙)音起頭之字	siu	陰平聲	3	0	108	7			09947	286	7			[3]siu1
銷	S(沙)音起頭之字	siu	陰平聲	3	0	108	8			09948	286	8			[3]siu1
霄	S(沙)音起頭之字	siu	陰平聲	3	0	108	9			09949	286	9			[3]siu1
魈	S(沙)音起頭之字	siu	陰平聲	3	0	108	10			09950	286	10			[3]siu1
簫	S(沙)音起頭之字	siu	陰平聲	3	0	108	11			09951	286	11			[3]siu1
蕭	S(沙)音起頭之字	siu	陰平聲	3	0	108	12			09952	286	12			[3]siu1
箾	S(沙)音起頭之字	siu	陰平聲	3	0	108	13			09953	286	13			[3]siu1
瀟	S(沙)音起頭之字	siu	陰平聲	3	0	108	14			09954	286	14			[3]siu1
𤑳	S(沙)音起頭之字	siu	陰平聲	3	0	108	15			09955	286	15			[3]siu1
蠨	S(沙)音起頭之字	siu	陰平聲	3	0	108	16			09956	286	16			[3]siu1
翛	S(沙)音起頭之字	siu	陰平聲	3	0	108	17			09957	286	17			[3]siu1
肖	S(沙)音起頭之字	siu	陰平聲	3	0	108	18			09958	286	18			[3]siu1
小	S(沙)音起頭之字	siu	陰上聲	3	0	108	1			09959	286	1			[3]siu2
少	S(沙)音起頭之字	siu	陰上聲	3	0	108	2			09960	286	2			[3]siu2
謏	S(沙)音起頭之字	siu	陰上聲	3	0	108	3			09961	286	3			[3]siu2
筱	S(沙)音起頭之字	siu	陰上聲	3	0	108	4			09962	286	4			[3]siu2
篠	S(沙)音起頭之字	siu	陰上聲	3	0	108	5			09963	286	5			[3]siu2
笑	S(沙)音起頭之字	siu	陰去聲	3	0	108	1			09964	286	1			[3]siu3
咲	S(沙)音起頭之字	siu	陰去聲	3	0	108	2			09965	286	2			[3]siu3
燒	S(沙)音起頭之字	siu	陰去聲	3	0	108	3			09966	286	3			[3]siu3
少	S(沙)音起頭之字	siu	陰去聲	3	0	108	4			09967	286	4			[3]siu3
嘯	S(沙)音起頭之字	siu	陰去聲	3	0	108	5			09968	287	5			[3]siu3
歗	S(沙)音起頭之字	siu	陰去聲	3	0	108	6			09969	287	6			[3]siu3
𤑳	S(沙)音起頭之字	siu	陰去聲	3	0	108	7			09970	287	7			[3]siu3
韶	S(沙)音起頭之字	siu	陽平聲	3	0	108	1			09971	287	1			[3]siu4
招	S(沙)音起頭之字	siu	陽平聲	3	0	108	2			09972	287	2			[3]siu4
髫	S(沙)音起頭之字	siu	陽平聲	3	0	108	3			09973	287	3			[3:also]siu4
迢	S(沙)音起頭之字	siu	陽平聲	3	0	108	4			09974	287	4			[3:verbal]siu4
銚	S(沙)音起頭之字	siu	陽去聲	3	0	108	1			09975	287	1			[3]siu6
旐	S(沙)音起頭之字	siu	陽去聲	3	0	108	2			09976	287	2			[3]siu6
肇	S(沙)音起頭之字	siu	陽去聲	3	0	108	3			09977	287	3			[3]siu6
召	S(沙)音起頭之字	siu	陽去聲	3	0	108	4			09978	287	4			[3]siu6
劭	S(沙)音起頭之字	siu	陽去聲	3	0	108	5			09979	287	5			[3]siu6
卲	S(沙)音起頭之字	siu	陽去聲	3	0	108	6			09980	287	6			[3]siu6
紹	S(沙)音起頭之字	siu	陽去聲	3	0	108	7			09981	287	7			[3]siu6
詔	S(沙)音起頭之字	siu	陽去聲	3	0	108	8			09982	287	8			[3]siu6
邵	S(沙)音起頭之字	siu	陽去聲	3	0	108	9			09983	287	9			[3]siu6
兆	S(沙)音起頭之字	siu	陽去聲	3	0	108	10			09984	287	10			[3]siu6
梳	S(沙)音起頭之字	so	陰平聲	3	0	108	1			09985	287	1			[3]so1
疏	S(沙)音起頭之字	so	陰平聲	3	0	108	2			09986	287	2			[3]so1
蔬	S(沙)音起頭之字	so	陰平聲	3	0	108	3			09987	287	3			[3]so1
疎	S(沙)音起頭之字	so	陰平聲	3	0	108	4			09988	287	4			[3]so1
蓑	S(沙)音起頭之字	so	陰平聲	3	0	108	5			09989	287	5			[3]so1
簑	S(沙)音起頭之字	so	陰平聲	3	0	108	6			09990	287	6			[3]so1
唆	S(沙)音起頭之字	so	陰平聲	3	0	108	7			09991	287	7			[3]so1
梭	S(沙)音起頭之字	so	陰平聲	3	0	108	8			09992	287	8			[3]so1
鮻	S(沙)音起頭之字	so	陰平聲	3	0	108	9			09993	287	9			[3]so1
羧	S(沙)音起頭之字	so	陰平聲	2	0					9993A	287	10			[2]so1
嗦	S(沙)音起頭之字	so	陰平聲	3	0	108	10			09994	287	11			[3]so1
娑	S(沙)音起頭之字	so	陰平聲	3	0	108	11			09995	287	12			[3]so1
挲	S(沙)音起頭之字	so	陰平聲	3	0	108	12			09996	287	13			[3]so1
衰	S(沙)音起頭之字	so	陰平聲	3	0	108	13			09997	287	14			[3]so1
挱	S(沙)音起頭之字	so	陰平聲	3	0	108	14	手中摩擦。又音沙		09998	287	15			[3]so1;[3:also]saa1
莎	S(沙)音起頭之字	so	陰平聲	3	0	108	15			09999	287	16			[3]so1
莏	S(沙)音起頭之字	so	陰平聲	3	0	108	16			10000	287	17			[3]so1
疋	S(沙)音起頭之字	so	陰平聲	3	0	108	17			10001	287	18			[3]so1
傞	S(沙)音起頭之字	so	陰平聲	3	0	108	18			10002	287	19			[3:also]so1
桫	S(沙)音起頭之字	so	陰平聲	3	0	108	19			10003	287	20			[3]so1
所	S(沙)音起頭之字	so	陰上聲	3	0	108	1			10004	287	1			[3]so2
瑣	S(沙)音起頭之字	so	陰上聲	3	0	108	2			10005	287	2			[3]so2
鎖	S(沙)音起頭之字	so	陰上聲	3	0	108	3			10006	287	3			[3]so2
璅	S(沙)音起頭之字	so	陰上聲	3	0	108	4			10007	287	4			[3]so2
鏁	S(沙)音起頭之字	so	陰上聲	3	0	108	5			10008	287	5			[3]so2
嗩	S(沙)音起頭之字	so	陰上聲	3	0	108	6			10009	288	6			[3]so2
疏	S(沙)音起頭之字	so	陰去聲	3	0	108	1			10010	288	1			[3]so3
些	S(沙)音起頭之字	so	陰去聲	3	0	108	2			10011	288	2			[3]so3
儍	S(沙)音起頭之字	so	陽平聲	3	0	108	1			10012	288	1			[3]so4
傻	S(沙)音起頭之字	so	陽平聲	3	0	108	2			10013	288	2			[3]so4
殊	S(沙)音起頭之字	soe	陽平聲	2	0					10014	288	1	語詞。「烏～～」，形容人之不明白事情者，見《亞乜話齋閒話》。又語詞，從上滑下，如「～滑梯」。據《康熙字典》，《後漢·梁竦傳》註：殊，過也，作滑下解（《廣州話普通話口語詞對譯手冊》用垂字代）。		[2]soe4
卹	S(沙)音起頭之字	soed	陰入聲	3	0	108	1			10015	288	1			[3]seot7
恤	S(沙)音起頭之字	soed	陰入聲	3	3	108	2	撫～。～衫，北方作襯衫		10016	288	2			[3]seot7
賉	S(沙)音起頭之字	soed	陰入聲	3	0	108	3			10017	288	3			[3]seot7
戌	S(沙)音起頭之字	soed	陰入聲	3	0	108	4			10018	288	4			[3]seot7
率	S(沙)音起頭之字	soed	陰入聲	3	0	108	5			10019	288	5			[3]seot7
摔	S(沙)音起頭之字	soed	陰入聲	3	3	108	6	～門，閂門。棄摜於地		10020	288	6			[3]seot7
蟀	S(沙)音起頭之字	soed	陰入聲	3	0	108	7			10021	288	7			[3:also]seot7
窣	S(沙)音起頭之字	soed	陰入聲	3	0	108	8			10022	288	8			[3]seot7
帥	S(沙)音起頭之字	soed	陰入聲	3	0	108	9			10023	288	9			[3]seot7
術	S(沙)音起頭之字	soed	陽入聲	3	0	108	1			10024	288	1			[3]seot9
朮	S(沙)音起頭之字	soed	陽入聲	3	0	108	2			10025	288	2			[3]seot9
沭	S(沙)音起頭之字	soed	陽入聲	3	0	108	3			10026	288	3			[3]seot9
怵	S(沙)音起頭之字	soed	陽入聲	3	0	108	4			10027	288	4			[3]seot9
秫	S(沙)音起頭之字	soed	陽入聲	3	0	108	5			10028	288	5			[3]seot9
述	S(沙)音起頭之字	soed	陽入聲	3	0	108	6			10029	288	6			[3]seot9
削	S(沙)音起頭之字	soeg	中入聲	3	0	109	1			10030	288	1			[3]soek8
爍	S(沙)音起頭之字	soeg	中入聲	3	0	109	2			10031	288	2			[3:literal]soek8
鑠	S(沙)音起頭之字	soeg	中入聲	3	0	109	3			10032	288	3			[3]soek8
勺	S(沙)音起頭之字	soeg	中入聲	3	0	109	4			10033	288	4			[3:rare]soek8
杓	S(沙)音起頭之字	soeg	中入聲	3	0	109	5			10034	288	5			[3:also]soek8
踢	S(沙)音起頭之字	soeg	中入聲	3	0	109	6			10035	288	6			[3]soek8
荀	S(沙)音起頭之字	soen	陰平聲	3	0	109	1			10036	288	1			[3]seon1
徇	S(沙)音起頭之字	soen	陰平聲	3	0	109	2			10037	288	2			[3]seon1
峋	S(沙)音起頭之字	soen	陰平聲	3	0	109	3			10038	289	3			[3]seon1
洵	S(沙)音起頭之字	soen	陰平聲	3	0	109	4			10039	289	4			[3]seon1
恂	S(沙)音起頭之字	soen	陰平聲	3	0	109	5			10040	289	5			[3]seon1
狥	S(沙)音起頭之字	soen	陰平聲	3	0	109	6			10041	289	6			[3]seon1
殉	S(沙)音起頭之字	soen	陰平聲	3	0	109	7			10042	289	7			[3]seon1
珣	S(沙)音起頭之字	soen	陰平聲	3	0	109	8			10043	289	8			[3]seon1
眴	S(沙)音起頭之字	soen	陰平聲	3	0	109	9			10044	289	9			[3]seon1
詢	S(沙)音起頭之字	soen	陰平聲	3	0	109	10			10045	289	10			[3]seon1
郇	S(沙)音起頭之字	soen	陰平聲	3	0	109	11			10046	289	11			[3]seon1
皴	S(沙)音起頭之字	soen	陰平聲	3	0	109	12			10047	289	12			[3]seon1
逡	S(沙)音起頭之字	soen	陰平聲	3	0	109	13			10048	289	13			[3]seon1
筍	S(沙)音起頭之字	soen	陰上聲	3	0	109	1			10049	289	1			[3]seon2
笋	S(沙)音起頭之字	soen	陰上聲	3	0	109	2			10050	289	2			[3]seon2
囟	S(沙)音起頭之字	soen	陰上聲	3	0	109	3			10051	289	3			[3:verbal]seon2
簨	S(沙)音起頭之字	soen	陰上聲	3	0	109	4			10052	289	4			[3]seon2
榫	S(沙)音起頭之字	soen	陰上聲	3	0	109	5			10053	289	5			[3]seon2
瞬	S(沙)音起頭之字	soen	陰上聲	3	0	109	6			10054	289	6			[3]seon2
眴	S(沙)音起頭之字	soen	陰上聲	3	0	109	7			10055	289	7			[3]seon2
信	S(沙)音起頭之字	soen	陰去聲	3	0	109	1			10056	289	1			[3]seon3
遜	S(沙)音起頭之字	soen	陰去聲	3	0	109	2			10057	289	2			[3]seon3
汛	S(沙)音起頭之字	soen	陰去聲	3	0	109	3			10058	289	3			[3]seon3
迅	S(沙)音起頭之字	soen	陰去聲	3	0	109	4			10059	289	4			[3]seon3
瞬	S(沙)音起頭之字	soen	陰去聲	3	0	109	5			10060	289	5			[3:also]seon3
訊	S(沙)音起頭之字	soen	陰去聲	3	0	109	6			10061	289	6			[3]seon3
舜	S(沙)音起頭之字	soen	陰去聲	3	0	109	7			10062	289	7			[3]seon3
蕣	S(沙)音起頭之字	soen	陰去聲	3	0	109	8			10063	289	8			[3]seon3
巽	S(沙)音起頭之字	soen	陰去聲	3	0	109	9			10064	289	9			[3]seon3
噀	S(沙)音起頭之字	soen	陰去聲	3	0	109	10			10065	289	10			[3]seon3
囟	S(沙)音起頭之字	soen	陰去聲	3	0	109	11			10066	289	11			[3]seon3
顖	S(沙)音起頭之字	soen	陰去聲	3	0	109	12			10067	289	12			[3]seon3
顨	S(沙)音起頭之字	soen	陰去聲	3	0	109	13			10068	289	13			[3]seon3
孫	S(沙)音起頭之字	soen	陰去聲	3	0	109	14			10069	289	14			[3]seon3
純	S(沙)音起頭之字	soen	陽平聲	3	0	109	1			10070	289	1			[3]seon4
蒓	S(沙)音起頭之字	soen	陽平聲	3	0	109	2			10071	289	2			[3]seon4
蓴	S(沙)音起頭之字	soen	陽平聲	3	0	109	3			10072	289	3			[3]seon4
唇	S(沙)音起頭之字	soen	陽平聲	3	0	109	4			10073	289	4			[3]seon4
脣	S(沙)音起頭之字	soen	陽平聲	3	0	109	5			10074	289	5			[3]seon4
漘	S(沙)音起頭之字	soen	陽平聲	3	0	109	6			10075	289	6			[3]seon4
淳	S(沙)音起頭之字	soen	陽平聲	3	0	109	7			10076	289	7			[3]seon4
焞	S(沙)音起頭之字	soen	陽平聲	3	0	109	8			10077	289	8			[3]seon4
犉	S(沙)音起頭之字	soen	陽平聲	3	0	109	9			10078	289	9			[3]seon4
醇	S(沙)音起頭之字	soen	陽平聲	3	0	109	10			10079	289	10			[3]seon4
鶉	S(沙)音起頭之字	soen	陽平聲	3	0	109	11	鵪～，頭小尾禿		10080	289	11			[3]seon4
馴	S(沙)音起頭之字	soen	陽平聲	3	0	109	12			10081	289	12			[3:verbal]seon4
肫	S(沙)音起頭之字	soen	陽平聲	3	0	109	13			10082	289	13			[3]seon4
錞	S(沙)音起頭之字	soen	陽平聲	3	0	109	14			10083	290	14			[3]seon4
盾	S(沙)音起頭之字	soen	陽上聲	3	0	109	1			10084	290	1			[3:original]seon5
楯	S(沙)音起頭之字	soen	陽上聲	3	0	109	2			10085	290	2			[3:original]seon5
順	S(沙)音起頭之字	soen	陽去聲	3	0	109	1			10086	290	1			[3]seon6
徇	S(沙)音起頭之字	soen	陽去聲	3	0	109	2			10087	290	2			[3:verbal]seon6
殉	S(沙)音起頭之字	soen	陽去聲	3	0	109	3			10088	290	3			[3:verbal]seon6
舜	S(沙)音起頭之字	soen	陽去聲	3	0	109	4			10089	290	4			[3:also]seon6
商	S(沙)音起頭之字	soeng	陰平聲	3	0	109	1			10090	290	1			[3]soeng1
相	S(沙)音起頭之字	soeng	陰平聲	3	0	109	2			10091	290	2			[3]soeng1
廂	S(沙)音起頭之字	soeng	陰平聲	3	0	109	3			10092	290	3			[3]soeng1
湘	S(沙)音起頭之字	soeng	陰平聲	3	0	109	4			10093	290	4			[3]soeng1
箱	S(沙)音起頭之字	soeng	陰平聲	3	0	109	5			10094	290	5			[3]soeng1
緗	S(沙)音起頭之字	soeng	陰平聲	3	0	109	6			10095	290	6			[3]soeng1
霜	S(沙)音起頭之字	soeng	陰平聲	3	0	109	7			10096	290	7			[3]soeng1
孀	S(沙)音起頭之字	soeng	陰平聲	3	0	109	8			10097	290	8			[3]soeng1
驦	S(沙)音起頭之字	soeng	陰平聲	3	0	109	9			10098	290	9			[3]soeng1
鸘	S(沙)音起頭之字	soeng	陰平聲	3	0	109	10			10099	290	10			[3]soeng1
雙	S(沙)音起頭之字	soeng	陰平聲	3	0	109	11			10100	290	11			[3]soeng1
禓	S(沙)音起頭之字	soeng	陰平聲	3	0	109	12			10101	290	12			[3:also]soeng1
熵	S(沙)音起頭之字	soeng	陰平聲	2	0					10101A	290	13			[2]soeng1
艭	S(沙)音起頭之字	soeng	陰平聲	3	0	109	13			10102	290	14			[3]soeng1
双	S(沙)音起頭之字	soeng	陰平聲	3	0	109	14			10103	290	15			[3]soeng1
傷	S(沙)音起頭之字	soeng	陰平聲	3	0	109	15			10104	290	16			[3]soeng1
殤	S(沙)音起頭之字	soeng	陰平聲	3	0	109	16			10105	290	17			[3]soeng1
觴	S(沙)音起頭之字	soeng	陰平聲	3	0	109	17			10106	290	18			[3]soeng1
湯	S(沙)音起頭之字	soeng	陰平聲	3	0	109	18			10107	290	19			[3]soeng1
襄	S(沙)音起頭之字	soeng	陰平聲	3	0	109	19			10108	290	20			[3]soeng1
勷	S(沙)音起頭之字	soeng	陰平聲	3	0	109	20			10109	290	21			[3]soeng1
纕	S(沙)音起頭之字	soeng	陰平聲	3	0	109	21			10110	290	22			[3]soeng1
鑲	S(沙)音起頭之字	soeng	陰平聲	3	0	109	22			10111	290	23			[3]soeng1
驤	S(沙)音起頭之字	soeng	陰平聲	3	0	109	23			10112	290	24			[3]soeng1
瀧	S(沙)音起頭之字	soeng	陰平聲	3	0	109	24			10113	290	25			[3]soeng1
想	S(沙)音起頭之字	soeng	陰上聲	3	0	109	1			10114	290	1			[3]soeng2
賞	S(沙)音起頭之字	soeng	陰上聲	3	0	109	2			10115	290	2			[3]soeng2
鮝	S(沙)音起頭之字	soeng	陰上聲	3	0	109	3			10116	290	3			[3]soeng2
鯗	S(沙)音起頭之字	soeng	陰上聲	3	0	109	4			10117	290	4			[3]soeng2
相	S(沙)音起頭之字	soeng	陰去聲	3	0	109	1			10118	290	1			[3]soeng3
常	S(沙)音起頭之字	soeng	陽平聲	3	0	109	1			10119	290	1			[3]soeng4
嫦	S(沙)音起頭之字	soeng	陽平聲	3	0	109	2	～娥，人名。本作姮，音恆		10120	290	2			[3]soeng4
甞	S(沙)音起頭之字	soeng	陽平聲	3	0	109	3			10121	291	3			[3]soeng4
嘗	S(沙)音起頭之字	soeng	陽平聲	3	0	109	4			10122	291	4			[3]soeng4
裳	S(沙)音起頭之字	soeng	陽平聲	3	0	109	5			10123	291	5			[3]soeng4
償	S(沙)音起頭之字	soeng	陽平聲	3	0	109	6			10124	291	6			[3]soeng4
嚐	S(沙)音起頭之字	soeng	陽平聲	3	0	109	7			10125	291	7			[3]soeng4
鱨	S(沙)音起頭之字	soeng	陽平聲	3	0	109	8			10126	291	8			[3]soeng4
徜	S(沙)音起頭之字	soeng	陽平聲	3	0	109	9			10127	291	9			[3]soeng4
上	S(沙)音起頭之字	soeng	陽上聲	3	0	109	1			10128	291	1			[3]soeng5
尚	S(沙)音起頭之字	soeng	陽去聲	3	0	109	1			10129	291	1			[3]soeng6
上	S(沙)音起頭之字	soeng	陽去聲	3	0	109	2			10130	291	2			[3]soeng6
雖	S(沙)音起頭之字	soey	陰平聲	3	0	110	1			10131	291	1			[3]seoi1
須	S(沙)音起頭之字	soey	陰平聲	3	0	110	2			10132	291	2			[3]seoi1
嬃	S(沙)音起頭之字	soey	陰平聲	3	0	110	3			10133	291	3			[3]seoi1
需	S(沙)音起頭之字	soey	陰平聲	3	0	110	4			10134	291	4			[3]seoi1
繻	S(沙)音起頭之字	soey	陰平聲	3	0	110	5			10135	291	5			[3]seoi1
衰	S(沙)音起頭之字	soey	陰平聲	3	0	110	6			10136	291	6			[3]seoi1
榱	S(沙)音起頭之字	soey	陰平聲	3	0	110	7			10137	291	7			[3:also]seoi1
桵	S(沙)音起頭之字	soey	陰平聲	3	0	110	8			10138	291	8			[3:also]seoi1
綏	S(沙)音起頭之字	soey	陰平聲	3	0	110	9			10139	291	9			[3]seoi1
荽	S(沙)音起頭之字	soey	陰平聲	3	0	110	10			10140	291	10			[3:original]seoi1
胥	S(沙)音起頭之字	soey	陰平聲	3	0	110	11			10141	291	11			[3]seoi1
湑	S(沙)音起頭之字	soey	陰平聲	3	0	110	12			10142	291	12			[3:common]seoi1
糈	S(沙)音起頭之字	soey	陰平聲	3	0	110	13			10143	291	13			[3:common]seoi1
諝	S(沙)音起頭之字	soey	陰平聲	3	0	110	14			10144	291	14			[3]seoi1
睢	S(沙)音起頭之字	soey	陰平聲	3	0	110	15			10145	291	15			[3]seoi1
眭	S(沙)音起頭之字	soey	陰平聲	3	0	110	16	姓氏。又音攜，深目惡視		10146	291	16			[3]seoi1;[3:also]kwai4
夊	S(沙)音起頭之字	soey	陰平聲	3	0	110	17			10147	291	17			[3]seoi1
嚅	S(沙)音起頭之字	soey	陰平聲	3	0	110	18			10148	291	18			[3:rare]seoi1
水	S(沙)音起頭之字	soey	陰上聲	3	0	110	1			10149	291	1			[3]seoi2
湑	S(沙)音起頭之字	soey	陰上聲	3	0	110	2			10150	291	2			[3:also]seoi2
糈	S(沙)音起頭之字	soey	陰上聲	3	0	110	3			10151	291	3			[3:also]seoi2
醑	S(沙)音起頭之字	soey	陰上聲	3	0	110	4			10152	291	4			[3:also]seoi2
髓	S(沙)音起頭之字	soey	陰上聲	3	0	110	5			10153	291	5			[3:rare]seoi2
碎	S(沙)音起頭之字	soey	陰去聲	3	0	110	1			10154	291	1			[3]seoi3
歲	S(沙)音起頭之字	soey	陰去聲	3	0	110	2			10155	291	2			[3]seoi3
