# 資料庫版本: 2020-08-22
序號	字頭	字頭種類	異體字	頁碼	補遺頁碼	粵拼聲母	粵拼韻母	粵拼聲調	九聲聲調	粵拼讀音	音序	讀音分類	釋義	另見原文	校訂註
156.1	佅			4		m	aai	6	6	maai6	D7				
157.1	余			4		j	yu	4	4	jyu4	A51				
158.1	佘			4		s	e	4	4	se4	R54				
159.1	佞			4		n	ing	6	6	ning6	H53				
160.1	佂			4		z	ing	1	1	zing1	P84				
161.1	佉			4		k	eoi	1	1	keoi1	L52				
162.1	估			4		g	u	2	2	gu2	J103		估計		
162.2	估			4		g	u	3	3	gu3	J104		估衣		
163.1	体			4		b	an	6	6	ban6	B30			同笨	
164.1	何			4		h	o	4	4	ho4	O87				
165.1	佐			4		z	o	3	3	zo3	P96				
166.1	伾			4		p	ei	1	1	pei1	C29				
167.1	佑			4		j	au	6	6	jau6	S12				
168.1	佈			4		b	ou	3	3	bou3	B60				
169.1	伻			4		p	ing	1	1	ping1	C46				
170.1	佔			4		z	im	3	3	zim3	P74				
171.1	佌			4		c	i	2	2	ci2	Q60				
172.1	但			4		d	aan	6	6	daan6	F13				
173.1	伸			4		s	an	1	1	san1	R38				
174.1	佃			5		d	in	6	6	din6	F66		種地		
174.2	佃			5		t	in	4	4	tin4	G47		打獵		
175.1	佀			5		c	i	5	5	ci5	Q63			似(本)	
176.1	佒			5		j	oeng	5	5	joeng5	S74			同仰	
177.1	佚			5		j	at	6	9	jat6	S28		散失		
177.2	佚			5		d	it	6	9	dit6	F70		佚宕		
178.1	作			5		z	ok	3	8	zok3	P106				
179.1	伯			5		b	aak	3	8	baak3	B21		叔伯		
179.2	伯			5		b	aa	3	3	baa3	B3			同霸	
180.1	𠈁			5		t	ok	3	8	tok3	G72			同侂	
181.1	伶			5		l	ing	4	4	ling4	I68				
182.1	低			5		d	ai	1	1	dai1	F19				
183.1	佝			5		k	eoi	1	1	keoi1	L52				
184.1	佟			5		t	ung	4	4	tung4	G85				
185.1	你			5		n	ei	5	5	nei5	H34				
186.1	住			5		z	yu	6	6	zyu6	P133				
187.1	位			5		w	ai	6	6	wai6	T25				
187.2	位			5		w	ai	2	2	wai2	T21	V			
188.1	伴			5		b	un	6	6	bun6	B78				
188.2	伴			5		p	un	5	5	pun5	C73	V			
189.1	佇			5		c	yu	5	5	cyu5	Q125				
190.1	佗			5		t	o	4	4	to4	G63		負荷		
190.2	佗			5		t	o	1	1	to1	G61		姓，通拖		
191.1	佖			5		b	it	1	7	bit1	B50				
192.1	伺			5		z	i	6	6	zi6	P67				
193.1	伲			5		n	ei	4	4	nei4	H33				
194.1	佛			5		f	at	6	9	fat6	E24		佛教		
194.2	佛			5		f	at	1	7	fat1	E23		仿佛		
194.3	佛			5		b	at	6	9	bat6	B33		佛肸		
195.1	佋			5		s	iu	6	6	siu6	R73				
196.1	伽			5		g	aa	1	1	gaa1	J1		譯音字		
196.2	伽			5		k	e	4	4	ke4	L27		伽藍		
197.1	似			5		c	i	5	5	ci5	Q63				
198.1	佁			5		j	i	5	5	ji5	S37				
199.1	㑌			5		h	ong	1	1	hong1	O100		㑌儴		
199.2	㑌			5		w	ong	1	1	wong1	T46			同尪	
200.1	佴			5		j	i	5	5	ji5	S37				
200.2	佴			5		j	i	6	6	ji6	S38	A			
201.1	佳			5		g	aai	1	1	gaai1	J5				
202.1	侍			5		s	i	6	6	si6	R68				
203.1	佶			5		g	at	1	7	gat1	J44		壯健貌		
203.2	佶			5		g	it	3	8	git3	J68		佶屈聱牙		
204.1	佬			5		l	ou	2	2	lou2	I74				
205.1	供			5		g	ung	1	1	gung1	J109		供給		
205.2	供			5		g	ung	3	3	gung3	J111		供奉		
206.1	使			5		s	i	2	2	si2	R64		指使		
206.2	使			5		s	ai	2	2	sai2	R25	V	指使		
206.3	使			5		s	i	3	3	si3	R65		出使		
207.1	侖			5		l	eon	4	4	leon4	I103				
208.1	佰			5		b	aak	3	8	baak3	B21				
209.1	侑			5		j	au	6	6	jau6	S12				
210.1	侉			5		kw	aa	2	2	kwaa2	M2				
211.1	來			5		l	oi	4	4	loi4	I82		來往		
211.2	來			5		l	oi	6	6	loi6	I83		勞來		
212.1	例			5		l	ai	6	6	lai6	I27				
213.1	侇			5		j	i	4	4	ji4	S36				
214.1	侄			5		z	at	6	9	zat6	P50				
215.1	侗			5		t	ung	4	4	tung4	G85		童蒙無知		
215.2	侗			5		d	ung	6	6	dung6	F102		侗族		
216.1	侃			5		h	on	2	2	hon2	O95				
217.1	佪			5		w	ui	4	4	wui4	T59				
218.1	侏			5		z	yu	1	1	zyu1	P130				
219.1	侁			5		s	an	1	1	san1	R38				
220.1	佸			5		w	ut	6	9	wut6	T67				
221.1	侐			5		gw	ik	1	7	gwik1	K25				
222.1	侜			5		z	au	1	1	zau1	P32				
223.1	佺			5		c	yun	4	4	cyun4	Q129				
224.1	佾			5		j	at	6	9	jat6	S28				
225.1	佩			5		p	ui	3	3	pui3	C66				
226.1	佹			5		gw	ai	2	2	gwai2	K13				
227.1	侚			5		s	eon	1	1	seon1	R122		侚私	同徇	
227.2	侚			5		s	eon	6	6	seon6	R127		侚地	同徇	
228.1	侈			5		c	i	2	2	ci2	Q60				
229.1	佻			5		t	iu	1	1	tiu1	G35				
229.2	佻			5		t	iu	4	4	tiu4	G37	A			
230.1	侂			5		t	ok	3	8	tok3	G72				
231.1	佼			5		g	aau	2	2	gaau2	J9				
232.1	依			5		j	i	1	1	ji1	S33				
233.1	侅			5		g	oi	1	1	goi1	J82				
234.1	佯			5		j	oeng	4	4	joeng4	S73				
235.1	佽			5		c	i	3	3	ci3	Q61				
236.1	侘			5		c	aa	3	3	caa3	Q3				
237.1	侌			5		j	am	1	1	jam1	S13				
238.1	佷			5		h	an	2	2	han2	O47				
239.1	侔			5		m	au	4	4	mau4	D28				
240.1	侲			5		z	an	3	3	zan3	P42				
241.1	俞			5		j	yu	4	4	jyu4	A51			同兪	
241.2	俞			5		j	yu	6	6	jyu6	A53			同兪	
242.1	便			6		b	in	6	6	bin6	B49		方便		
242.2	便			6		p	in	4	4	pin4	C43		便宜		
243.1	俉			6			ng	6	6	ng6	N88				
244.1	俠			6		h	aap	6	9	haap6	O28				
245.1	俅			6		k	au	4	4	kau4	L11				
246.1	俓			6		g	ing	3	3	ging3	J72				
247.1	俏			6		c	iu	3	3	ciu3	Q66				
248.1	俚			6		l	ei	5	5	lei5	I43				
249.1	俁			6		j	yu	5	5	jyu5	A52				
250.1	俔			6		j	in	5	5	jin5	S55				
251.1	保			6		b	ou	2	2	bou2	B59				
252.1	俜			6		p	ing	1	1	ping1	C46				
253.1	促			6		c	uk	1	7	cuk1	Q121				
254.1	侶			6		l	eoi	5	5	leoi5	I100				
255.1	俋			6		j	ap	1	7	jap1	S25				
256.1	俈			6		g	uk	1	7	guk1	J113				
257.1	侹			6		t	ing	5	5	ting5	G54				
258.1	俐			6		l	ei	6	6	lei6	I44				
259.1	俄			6		ng	o	4	4	ngo4	N64				
260.1	侮			6		m	ou	5	5	mou5	D69				
261.1	俆			6		s	yu	1	1	syu1	R136		地名		
261.2	俆			6		c	eoi	4	4	ceoi4	Q111			同徐	
262.1	俙			6		h	ei	1	1	hei1	O60				
263.1	俎			6		z	o	2	2	zo2	P95				
264.1	侳			6		z	o	6	6	zo6	P97			同坐	
264.2	侳			6		c	o	3	3	co3	Q91			同挫	
265.1	俗			6		z	uk	6	9	zuk6	P129				
266.1	俘			6		f	u	1	1	fu1	E38				
267.1	俛			6		f	u	2	2	fu2	E39			同俯	
267.2	俛			6		m	in	5	5	min5	D59			通勉	
268.1	俇			6		gw	aang	6	6	gwaang6	K9		俇俇		
268.2	俇			6		h	ong	1	1	hong1	O100		俇攘		
269.1	係			6		h	ai	6	6	hai6	O34				
270.1	信			6		s	eon	3	3	seon3	R124				
270.2	信			6		s	an	1	1	san1	R38			通伸	
271.1	侻			6		t	yut	3	8	tyut3	G89				
272.1	俍			6		l	oeng	4	4	loeng4	I94				
273.1	侵			6		c	am	1	1	cam1	Q36				
274.1	侯			6		h	au	4	4	hau4	O38				
275.1	侷			6		g	uk	6	9	guk6	J114				
276.1	俑			6		j	ung	2	2	jung2	S84				
277.1	俟			6		z	i	6	6	zi6	P67		等候		
277.2	俟			6		k	ei	4	4	kei4	L25		万俟		
278.1	俊			6		z	eon	3	3	zeon3	P120				
279.1	侀			6		j	ing	4	4	jing4	S64				
280.1	俸			6		f	ung	2	2	fung2	E51				
281.1	倩			6		s	in	6	6	sin6	R84				
282.1	俵			6		b	iu	2	2	biu2	B45				
283.1	倖			6		h	ang	6	6	hang6	O54				
284.1	併			6		b	ing	3	3	bing3	B55				
284.2	併			6		p	ing	3	3	ping3	C47	A			
285.1	倛			6		h	ei	1	1	hei1	O60			同魌	
286.1	借			6		z	e	3	3	ze3	P54				
287.1	值			6		z	ik	6	9	zik6	P90				
288.1	倈			6		l	oi	4	4	loi4	I82				
289.1	倳			6		z	i	3	3	zi3	P66				
290.1	倆			6		l	oeng	5	5	loeng5	I95				
291.1	倷			6		n	oi	6	6	noi6	H63				
292.1	倚			6		j	i	2	2	ji2	S34		倚靠		
292.2	倚			6		k	ei	1	1	kei1	L23			通畸	
293.1	俺			6			aan	2	2	aan2	A10				
293.2	俺			6		j	im	3	3	jim3	S47	A			
294.1	倢			6		z	it	3	8	zit3	P82				
295.1	俴			6		c	in	5	5	cin5	Q75				
296.1	倒			6		d	ou	2	2	dou2	F78		顛倒		
296.2	倒			6		d	ou	3	3	dou3	F79		倒退		
297.1	倀			6		c	oeng	1	1	coeng1	Q103		倀鬼		
297.2	倀			6		c	aang	1	1	caang1	Q21	A	倀鬼		
297.3	倀			6		c	aang	4	4	caang4	Q22		獨立貌		
298.1	俶			6		c	uk	1	7	cuk1	Q121		始		
298.2	俶			6		t	ik	1	7	tik1	G55			通倜	
