頁	列	字碼	字
			䘮
		12354	李
			杰
67	1	1241	五
			伍
		12411	東
			凍
			陳
			棟
			蝀
	2		甫
			匍
			葡
			痡
			哺
			埔
			捕
			蒱
			浦
			蒲
68	1		晡
			脯
			補
			輔
			酺
			鋪
			舖
			餔
			鬴
			黼
			圃
	2		莆
			逋
			牖
			簠
			敷
			尃
			傅
			博
			搏
			溥
			薄
			礴
			欂
			簿
			榑
			膊
			縛
			賻
			鎛
			餺
			更
			哽
			埂
	2		浭
			梗
			稉
			硬
			粳
			綆
			骾
			鯁
			甦
			便
			緶
			鞭
70	1		或
			罭
			域
			棫
			蜮
			惑
			閾
			馘
			彧
			國
			摑
			幗
			嘓
			蟈
			叀
			專
			傳
			塼
			摶
			漙
			磚
			轉
			囀
			團
71	1		糰
			蓴
			剸
			甎
			鱄
			惠
			蕙
			穗
			蟪
			量
			糧
			巨
			佢
			怇
			拒
			洰
			炬
			歫
			矩
			榘
			秬
			距
			詎
			鉅
72	1		苣
			渠
			磲
			蕖
			車
			厙
			庫
			褲
			陣
			硨
			蛼
			連
			蓮
			漣
			璉
			鏈
			鰱
			轟
			軎
			𣪠
			墼
			擊
			繫
			轡
			亘
			姮
			垣
73	1		咺
			烜
			桓
			洹
			貆
			宣
			渲
			揎
			喧
			楦
			暄
			煊
			瑄
			諠
			萱
			堇
		12412	吾
			悟
			捂
			唔
			梧
74	1		牾
			啎
			晤
			鋙
			語
			鼯
			齬
			圄
			敔
			衙
			寤
			可
			何
			荷
			呵
			河
			菏
			坷
			阿
75	1		婀
			痾
			牁
			珂
			柯
			舸
			軻
			訶
			岢
			苛
			疴
			哿
			哥
			歌
			謌
			再
			𦣞
			姬
			茝
			熙
			頤
			賾
			臣
			臥
			監
			尷
			藍
			籃
76	1		濫
			檻
			艦
			襤
			轞
			鑑
			覽
			攬
			欖
			纜
			鑒
			鹽
			盬
			臨
			𦂳
			臤
			堅
			慳
			鏗
			腎
			竪
			緊
			賢
			豎
			贒
77	1		宦
			畐
			富
			偪
			愊
			幅
			湢
			煏
			腷
			福
			蝠
			輻
			副
			匐
			蔔
			逼
			疈
			鬲
			隔
			膈
			槅
			融
			翮
			鷊
78	1		鬳
			獻
			巘
			讞
			甗
			寅
			夤
			演
			瞚
			螾
			曹
			遭
			漕
			嘈
			槽
			螬
			糟
			蹧
			畺
			薑
			僵
			彊
			殭
			疆
			繮
79	1		韁
			束
			速
			悚
			涑
			竦
			疎
			觫
			餗
			辢
			剌
			瘌
			鬎
			喇
			揦
			敕
			整
			嫩
			欶
			嗽
			漱
			簌
			勅
			鶒
80	1		賴
			懶
			嬾
			瀨
			獺
			癩
			籟
			㯻
			橐
			𣟄
			𩧐
			蠹
			𣚇
			㯱
			櫜
			囊
			攮
			亜
			画
		12413	睘
			儇
81	1		獧
			擐
			嬛
			環
			蠉
			繯
			轘
			鐶
			闤
			鬟
			寰
			𢩠
			𣟴
			還
			圜
			翾
			吏
			使
		12414	事
			剚
			倳
82	1		鼂
		12415	豆
			痘
			脰
			短
			裋
			餖
			頭
			䜴
			荳
			逗
			𣗳
			豈
			剴
			凱
			獃
			覬
			顗
			愷
			塏
			磑
			皚
83	1		螘
			鎧
			闓
			䖒
			戲
			嚱
			巇
			覻
		1242	帀
			巿
			沛
			霈
			杮
			肺
			旆
			芾
			巿
			芾
			巿
			杮
			姉
		12422	襾
			賈
			價
			檟
84	1		覀
			要
			腰
			喓
			葽
			栗
			凓
			溧
			慄
			瑮
			篥
			票
			剽
			彯
			瓢
			飄
			嫖
			漂
			薸
			摽
85	1		標
			膘
			瞟
			縹
			螵
			鏢
			驃
			鰾
			瘭
			粟
	2		䙴
			僊
			遷
			躚
			韆
			覃
			潭
			撢
			燂
			禫
86	1		罈
			蟫
			贉
			譚
			醰
			蕈
			簟
			覈
			覆
			霸
			覊
		12423	朿
			刺
	2		策
			棗
			棘
			僰
			兩
87	1		䓣
			倆
			啢
			蜽
			輛
			魎
			裲
		12424	両
		12425	雨
			屚
	2		漏
		12434	西
			茜
			氥
			哂
			洒
			晒
			栖
			粞
			跴
			迺
			垔
			堙
88	1		湮
			陻
			煙
			禋
			鄄
			甄
			闉
			酉
			酒
			槱
		12435	丙
			邴
	2		炳
			柄
			昞
			㪅
			昺
			病
			㔷
			陋
			𨹟
			两
			㐁
			弻
			枣
89	1	1244	丏
			沔
			眄
			麪
			髩
			𡧍
		1245	支
			伎
			妓
	2		岐
			忮
			技
			枝
			歧
			肢
			蚑
			跂
			頍
			芰
			庋
			屐
90	1		翅
			豉
		12451	丽
			麗
			邐
			儷
			灑
			曬
			纚
			躧
			釃
			驪
	2		酈
			鸝
			鱺
		12453	柬
			揀
			湅
			楝
			煉
			練
			鍊
			諫
			闌
91	1		蘭
			攔
			瀾
			爛
			欄
			斕
			讕
			黴
	2	1250	下
			忑
			寸
			过
			吋
			忖
			村
			时
			肘
			紂
			討
92	1		罸
			酎
			付
			附
			咐
			拊
			坿
			柎
			袝
			跗
			駙
	2		鮒
			苻
			符
			府
			俯
			捬
			腑
			腐
			守
93	1		狩
			酧
			射
			榭
			謝
			麝
	2	1253	求
			救
			捄
			球
			毬
			賕
			觩
			逑
			裘
			絿
		12542	疐
		12544	孛
94	1		勃
			渤
			浡
			悖
			㹀
			脖
			桲
			綍
			誖
			餑
			鵓
			荸
	2		索
		1300	𠂇
			厂
		1311	辰
			宸
			晨
			辳
			震
			娠
95	1		賑
			唇
			振
			脤
			蜃
			脣
			漘
			辱
			鄏
			蓐
			溽
			槈
	2		縟
			薅
			耨
			褥
			鎒
		13121	左
			佐
			[⿱左月]
			惰
96	1		隋
			橢
			墮
			隳
			遀
			隨
			㵦
			髓
			堶
			鬌
			澂
			徵
	2		懲
			癥
		1320	丌
			廾
			羿
		13212	在
			恠
		1322	亟
97	1		極
			殛
		13241	右
			佑
			祐
			若
			偌
			喏
			諾
	2		鄀
			惹
			箬
			匿
			暱
			慝
			醢
			冇
			有
			侑
			洧
			蛕
			賄
98	1		鮪
			宥
			郁
			囿
			痏
			百
			佰
			陌
			栢
			竡
			粨
			貊
			皕
			宿
	2		蓿
			縮
			蹜
			弼
			𦣻
			奡
			戛
			夏
99	1		厦
			廈
			嗄
			榎
			頁
			頊
			煩
			碩
			𢝊
			夒
			虁
			寡
			戞
	2		憂
			優
			擾
			耰
		13242	面
			偭
			湎
			緬
			麵
			勔
			靦
100	1		愐
			腼
			而
			洏
			胹
			栭
			輀
			鮞
			耐
			耍
			恧
			耎
			㬉
			煗
			堧
			媆
	2		稬
			蝡
			輭
			耑
			歂
			惴
			揣
			喘
			湍
			瑞
			端
			踹
			圌
101	1		遄
			顓
			需
			壖
			儒
			嚅
			懦
			孺
			濡
			臑
			瓀
			繻
	2		襦
			蠕
			糯
			穤
			薷
			顬
			存
			荐
			洊
			珔
			布
102	1		佈
			抪
			怖
		1325	不
			抔
			坏
			怀
			杯
			肧
			环
			䬪
			罘
	2		芣
			还
		13251	丕
			邳
			呸
			狉
			坯
			胚
			歪
			㔻
		13252	盃
			覔
			否
103	1		痞
			踎
			嚭
			桮
		1335	犮
			茇
			坺
			拔
			祓
			紱
			跋
	2		鈸
			韍
			魃
			黻
			鼥
			髮
		1340	万
			兀
			杌
			軏
			髡
104	1		卼
			豗
			虺
			尢
			尪
			拋
			𣁋
			媺
			微
			薇
		1343	豕
	2		逐
			篴
			豚
			遯
			燹
			家
			傢
			嫁
			稼
			豦
			劇
105	1		遽
			𨙊
			籧
			據
			噱
			臄
			璩
			醵
			圂
			溷
			慁
	2		豖
			椓
			琢
			諑
			瘃
			尨
			厖
			庬
			昜
			敭
			場
106	1		陽
			揚
			煬
			楊
			暘
			膠
			瘍
			暢
			碭
			𥏫
	2		餳
			颺
			湯
			蕩
			燙
			盪
			鐋
		1344	匹
		1345	友
			厷
			宏
			閎
			肱
			紘
			雄
			竑
			歹
			列
	2		例
			冽
			洌
			烈
			裂
			茢
			尤
			犹
			肬
			蚘
108	1		疣
			稽
			嵇
			死
			屍
			塟
			葬
			髒
		13455	瓦
			亙
			恆
			緪
	2		絚
		1350	丈
			仗
			杖
			大
109	1		杕
			軑
			釱
			馱
			因
			姻
			咽
			胭
			烟
			裀
			絪
			恩
	2		茵
			氤
			莫
			寞
			瘼
			嫫
			漠
			摸
			模
			膜
110	1		蟆
			糢
			謨
			貘
			饃
			墓
			驀
			幕
			冪
			慕
			暮
			摹
	2		募
			謩
			羃
		13511	夸
			刳
			瓠
			匏
			侉
			咵
			洿
			姱
			胯
			袴
			絝
			跨
111	1		誇
			骻
			奈
			捺
		13512	奇
			寄
			剞
			攲
			欹
			倚
			崎
	2		猗
			漪
			掎
			犄
			琦
			椅
			畸
			綺
			觭
			踦
			錡
			騎
112	1		齮
			羇
			旖
			奩
			夲
			奎
			奢
			奔
			逩
			莽
			漭
			蟒
	2		套
			𡘷
			平
			伻
			坪
			泙
			抨
			怦
			枰
			秤
			砰
			評
			苹
113	1		閛
			萍
			輋
			耷
		1352	[⿰禾⿱不冉]
			奄
			庵
			菴
			罨
			俺
			唵
			崦
	2		淹
			掩
			腌
			晻
			醃
			⿰鹵奄
			閹
			鵪
			爾
			嬭
			獮
			彌
114	1		獼
			瀰
			禰
			[⿰虫彌]
			薾
			邇
			璽
			覼
			籋
		13532	奞
			奪
			奮
	2		灰
			炭
			盔
			恢
			詼
			𨦗
		13535	來
			𢽟
			憗
115	1		憖
			勑
			淶
			徠
			崍
			睞
			鯠
			賚
			萊
			夾
			俠
			挾
	2		峽
			浹
			狹
			陝
			狹
			陝
			梜
			硤
			蛺
			鋏
			莢
			筴
			郟
116	1		頰
			瘞
			匧
			愜
			陿
			篋
			夾
			陝
			爽
			塽
			騻
			鷞
		13543	夯
	2	13545	厺
		1355	太
			汰
			忲
			鈦
			犬
			伏
			洑
			袱
			茯
			吠
117	1		㹜
			狀
			畎
			默
			𥬇
			突
			葖
			獄
			嶽
			鸑
			戾
	2		淚
			唳
			捩
		13551	猋
			飆
		13552	盇
		13553	眘
			昚
			尞
			寮
118	1		僚
			潦
			撩
			獠
			嘹
			憭
			暸
			燎
	2		瞭
			繚
			鐐
			鷯
			遼
			療
			羍
			𨔶
		1400	七
			叱
			齔
			柒
119	1		匚
			匸
			丂
			巧
			朽
			攷
		1411	妻
			凄
			淒
			悽
			棲
			萋
	2		疌
			倢
			婕
			啑
			捷
			睫
			蜨
			箑
			夷
			咦
			洟
			姨
			胰
120	1		銕
			荑
			痍
		1423	牙
			呀
			枒
			玡
			砑
			蚜
	2		訝
			芽
			穿
			迓
			衺
			雅
			鴉
			邪
			峫
