# 資料庫版本: 2018-10-31
編號	頁	欄	字	紀錄	紀錄標記 (空白:主條目;C:勘誤欄;A:約解讀音)	廣話切	統一反切上字	統一反切下字	反切標記	粵拼聲母	粵拼韻母	粵拼聲調	九聲聲調	粵拼	現代粵音:標記	約解	經校訂修正	校訂註
214	8	2	倭	1/2		汪歌	汪	歌		w	o	1	1	wo1		日本人也。又～遲，讀威上平		
214	8	2	倭	2/2	A					w	ai	1	1	wai1	proper_noun			
215	8	2	偃	1/2		也淺	也	淺	E2	j	in	2	2	jin2		仆也，臥也。～武修文之～：止也		
215	8	2	偃	2/2	C	也撿	也	撿		j	im	2	2	jim2				
216	8	2	假	1/1		岡寡	岡	寡		g	aa	2	2	gaa2		～託，～冒：不真也。～令，～使：設詞也		
217	8	2	假	1/1		岡掛	岡	掛		g	aa	3	3	gaa3		告～，放～，給～，準～：休息也		
218	8	3	偉	1/1		汪米	汪	米		w	ai	5	5	wai5		大也。瑰～，秀～，～異，～岸		
219	8	3	偏	1/1		旁堅	旁	堅		p	in	1	1	pin1		側也，～旁。～愛，～袒：專重一面也		
220	8	3	偕	1/1		岡乖	岡	乖		g	aai	1	1	gaai1		同也，俱也		
221	8	3	做	1/1		臧步	臧	步		z	ou	6	6	zou6		作為也。～成，～定：已然之詞也		
222	8	3	偬	1/2		倉貢	倉	貢	E	c	ung	3	3	cung3		倥～，見前		
222	8	3	偬	2/2	C	倉拱	倉	拱		c	ung	2	2	cung2				
223	8	3	停	1/1		湯瓊	湯	瓊		t	ing	4	4	ting4		中止也。～當，～妥：妥當也		
224	8	3	健	1/1		岡賤	岡	賤		g	in	6	6	gin6		強壯也		
225	8	3	側	1/2		莊塞	莊	塞		z	ak	1	7	zak1		旁也，傾也。又讀惻		
225	8	3	側	2/2	A					c	ak	1	7	cak1	also			
226	8	3	偶	1/1		昂舅	昂	舅		ng	au	5	5	ngau5		～然也，雙數也，儕輩也，～像也		
227	8	3	偷	1/1		湯鳩	湯	鳩		t	au	1	1	tau1		盜也，苟且也，薄也		
228	8	3	傀	1/1		方怪	方	怪		f	aai	3	3	faai3		～儡，木偶也。本上上聲		
229	8	3	傅	1/1		方護	方	護		f	u	6	6	fu6		師也，輔也，近也，著也		
230	8	3	傍	1/1		貧狂	貧	狂		p	ong	4	4	pong4		與旁通		
231	8	3	傍	1/1		奔望	奔	望		b	ong	6	6	bong6		倚～，挨～		
232	8	3	傑	1/1		岡截	岡	截		g	it	6	9	git6		才智勝人也		
233	8	3	傖	1/1		叉岡	叉	岡		c	ong	1	1	cong1		老～，～父：廣東話稱為儳頭東西也		
234	8	3	傘	1/1		桑諫	桑	諫		s	aan	3	3	saan3		雨遮也。同繖		
235	8	3	備	1/1		邦忌	邦	忌		b	ei	6	6	bei6		完全也		
236	8	3	傚	1/1		康貌	康	貌		h	aau	6	6	haau6		仿也，學也		
237	8	3	催	1/1		倉居	倉	居		c	eoi	1	1	ceoi1		催迫也		
238	8	3	傭	1/1		也窮	也	窮		j	ung	4	4	jung4		受役於人也，猶言打工也		
239	8	3	傲	1/1		昂做	昂	做		ng	ou	6	6	ngou6		驕～		
240	8	4	傳	1/1		創權	創	權		c	yun	4	4	cyun4		～聞，～說，～遞，～見，～到		
241	8	4	傳	1/1		莊倦	莊	倦		z	yun	6	6	zyun6		聖經賢～，史～，紀～，列～		
242	8	4	債	1/1		莊界	莊	界		z	aai	3	3	zaai3		～務，～權，～票，欠～，還～，索～		
243	8	4	傷	1/1		爽薑	爽	薑		s	oeng	1	1	soeng1		損也，害也，憂思也		
244	8	4	傻	1/2		爽寡	爽	寡		s	aa	2	2	saa2		不曉事也，俗說作唆疏（二字均下平）		
244	8	4	傻	2/2	A					s	o	4	4	so4	common			
245	8	4	傾	1/1		慷京	慷	京		k	ing	1	1	king1		～側，～圮，～覆：毀也。～向：心所向也		
246	8	4	僂	1/1		郎求	郎	求		l	au	4	4	lau4		曲背也。～指：屈指也		
247	8	4	僂	1/1		郎就	郎	就		l	au	6	6	lau6		佝～：短醜人也		
248	8	4	僅	1/1		岡滾	岡	滾		g	an	2	2	gan2		少也。～可，～～，～見		
249	8	4	僉	1/1		倉兼	倉	兼		c	im	1	1	cim1		眾也，皆也		
250	8	4	僇	1/1		郎局	郎	局		l	uk	6	9	luk6		辱也		
